t_s,x_px,y_px
26.235000,162.361710,392.319153
26.268000,162.500000,392.500000
26.301000,166.500000,393.233337
26.334000,171.766663,394.500000
26.367000,178.107147,394.892853
26.400000,186.107147,396.892853
26.433000,195.147064,396.500000
26.466000,205.260864,398.159424
26.499000,216.107147,398.892853
26.532000,228.500000,399.500000
26.565000,240.500000,398.500000
26.598000,253.514923,399.037323
26.631000,266.500000,398.500000
26.664000,278.500000,397.233337
26.697000,291.386688,396.268463
26.730000,304.500000,394.500000
26.763000,316.500000,392.500000
26.796000,327.578827,390.012329
26.829000,338.500000,388.500000
26.862000,342.735291,386.264709
26.895000,356.136353,382.500000
26.928000,364.500000,380.500000
26.961000,367.500000,379.500000
26.994000,374.756165,376.421173
27.027000,378.399994,375.000000
27.060000,380.679108,374.380585
27.093000,381.500000,373.700012
27.126000,381.500000,373.700012
27.159000,380.932831,374.291046
27.192000,377.988159,375.438385
27.225000,374.243835,376.578827
27.258000,368.500000,378.500000
27.291000,362.500000,380.500000
27.324000,353.974884,383.280823
27.357000,345.500000,385.500000
27.390000,335.013824,388.162994
27.423000,324.735291,390.735291
27.456000,313.421173,392.987671
27.489000,301.421173,394.987671
27.522000,288.500000,396.500000
27.555000,276.500000,398.500000
27.588000,263.630646,398.650757
27.621000,251.035721,399.964294
27.654000,245.035721,399.964294
27.687000,226.985870,399.906769
27.720000,214.892853,398.107147
27.753000,204.500000,397.653839
27.786000,195.030869,397.487640
27.819000,186.500000,396.500000
27.852000,178.500000,395.233337
27.885000,173.157364,394.412354
27.918000,169.366669,393.633331
27.951000,166.412354,393.157379
27.984000,164.589035,392.616425
28.017000,164.589035,392.616425
28.050000,165.821426,393.178558
28.083000,166.500000,393.500000
28.116000,170.433334,394.433319
28.149000,175.073837,394.938812
28.182000,181.612106,396.127808
28.215000,186.107147,396.892853
28.248000,199.056335,398.295776
28.281000,209.056335,398.295776
28.314000,226.500000,399.500000
28.347000,231.964279,399.035706
28.380000,250.500000,399.500000
28.413000,262.633331,399.500000
28.446000,275.500000,398.500000
28.479000,288.000000,397.500000
28.512000,300.500000,395.500000
28.545000,312.107147,392.892853
28.578000,324.136353,390.500000
28.611000,334.500000,388.500000
28.644000,339.357147,387.357147
28.677000,348.346161,384.653839
28.710000,356.136353,382.500000
28.743000,363.578827,380.012329
28.776000,369.013824,378.162994
28.809000,371.500000,377.500000
28.842000,377.500000,375.323517
28.875000,378.775146,374.584656
28.908000,379.590912,374.500000
28.941000,379.611115,374.500000
28.974000,378.378387,375.108093
29.007000,375.500000,375.500000
29.040000,371.500000,377.500000
29.073000,365.500000,379.500000
29.106000,358.752472,381.207916
29.139000,350.500000,384.500000
29.172000,342.264709,386.264709
29.205000,332.500000,388.500000
29.238000,321.500000,391.029419
29.271000,315.807678,391.807678
29.304000,298.349243,395.369354
29.337000,285.500000,396.500000
29.370000,273.500000,397.970581
29.403000,260.611115,398.388885
29.436000,248.366669,399.500000
29.469000,236.366669,399.500000
29.502000,224.692139,399.124451
29.535000,214.500000,398.500000
29.568000,203.388062,398.074615
29.601000,198.594421,397.208160
29.634000,190.500000,396.500000
29.667000,183.035721,395.964294
29.700000,177.500000,395.500000
29.733000,172.500000,394.500000
29.766000,167.853714,393.246735
29.799000,167.366669,393.633331
29.832000,167.366669,393.633331
29.865000,167.973679,393.500000
29.898000,171.157364,394.412354
29.931000,176.291473,395.177734
29.964000,182.107147,396.892853
29.997000,189.943665,396.704224
30.030000,198.587646,397.842621
30.063000,208.107147,398.892853
30.096000,218.500000,399.500000
30.129000,230.012314,399.578827
30.162000,241.969131,399.512360
30.195000,254.500000,399.500000
30.228000,266.500000,399.500000
30.261000,278.500000,397.500000
30.294000,283.747345,397.397522
30.327000,297.035706,395.964294
30.360000,308.500000,393.500000
30.393000,319.500000,391.970581
30.426000,330.012329,389.578827
30.459000,339.421173,386.987671
30.492000,344.500000,386.500000
30.525000,356.500000,382.500000
30.558000,362.500000,380.500000
30.591000,368.072784,378.631470
30.624000,372.348328,376.786530
30.657000,374.072784,376.368530
